company_id,name,search_rating,review_count,overall_rating,복지/급여,워라밸,사내문화,승진 기회,경영진,기업 추천율,CEO 지지율,성장 가능성,검색기업명
265320,한신이엔씨(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,한신이엔씨
55589,(주)디멕스,2.2,43,2.2,1.7,2.0,2.3,2.0,2.0,19%,30%,12%,디멕스
144342,테라리더(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,테라리더
209890,강남고속관광(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,강남고속관광
318123,우리엔아이에스(주),2.5,26,2.5,1.7,3.0,3.0,2.8,2.0,12%,15%,8%,우리엔아이에스
189237,무한개발(주),5.0,2,5.0,4.0,5.0,5.0,5.0,5.0,100%,100%,100%,무한개발
88582,원진성형외과,3.2,244,3.2,2.8,3.1,3.0,2.9,2.9,45%,57%,24%,원진
82693,(주)아성다이소,2.7,1242,2.7,2.6,2.6,2.3,2.5,2.1,31%,38%,33%,아성
220348,극동에프앤씨(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,극동에프앤씨
287792,이화물산(주),3.3,3,3.3,2.3,4.3,1.7,2.7,1.7,33%,33%,33%,이화물산
113757,케이씨에이치산업개발(주),1.5,2,1.5,3.0,3.0,2.0,3.0,2.0,0%,50%,0%,에이치산업개발
103189,한백코퍼레이션(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,한백코퍼레이션
314071,한국지식재산보호원,3.2,190,3.2,2.5,3.8,3.1,2.5,2.8,52%,60%,14%,한국지식재산보호원
275019,아이에스엘정보통신(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,에스엘정보통신
401294,(주)신일테크,1.8,4,1.8,1.3,1.3,1.3,1.3,1.5,0%,0%,0%,신일테크
356513,(주)우진바이오,3.0,5,3.0,2.6,3.0,2.8,2.6,2.0,40%,40%,40%,우진바이오
241272,제주올레(사),1.9,23,1.9,1.9,2.0,2.0,2.1,2.0,26%,23%,4%,올레
31574,부원엔지니어링(주),5.0,1,5.0,5.0,5.0,4.0,4.0,5.0,100%,100%,100%,부원엔지니어링
157222,다원테크(주),3.0,2,3.0,3.0,3.0,2.0,3.0,2.5,0%,0%,0%,다원테크
163351,평강바이오(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,평강바이오
87214,(주)엠비씨플러스,3.2,235,3.2,3.3,3.5,3.3,2.3,2.3,55%,28%,6%,에브리원
258384,송학식품(주),1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0%,0%,0%,송학식품
170173,근원종합건설(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,근원종합건설
159802,다이나믹미디어(주),1.9,7,1.9,2.7,3.6,2.9,2.4,2.3,14%,43%,14%,다이나믹미디어
83461,(주)넷코아테크,2.9,25,2.9,2.2,3.0,3.4,3.0,2.4,44%,56%,20%,코아테크
161816,송죽하나로건설(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,송죽하나로건설
88632,(의)효산의료재단안양샘병원,2.3,113,2.3,2.0,2.4,2.5,2.3,2.0,22%,25%,14%,효산
334787,원진물산(주),4.5,2,4.5,2.5,4.0,4.0,2.0,4.0,100%,100%,0%,원진물산
367441,(주)종합건축사사무소림,2.3,26,2.3,2.5,1.7,2.8,2.7,2.1,23%,50%,15%,소림
439947,(주)제이앤제이아트컨벤션,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,제이아트컨벤션
